Player,Team,Position,Cap Hit,pv
Auston Matthews,Toronto Maple Leafs,F,"$13,250,000",13.25
Nathan MacKinnon,Colorado Avalanche,F,"$12,600,000",12.6
Connor McDavid,Edmonton Oilers,F,"$12,500,000",12.5
Artemi Panarin,New York Rangers,F,"$11,642,857",11.643
Elias Pettersson,Vancouver Canucks,F,"$11,600,000",11.6
William Nylander,Toronto Maple Leafs,F,"$11,500,000",11.5
Erik Karlsson,Pittsburgh Penguins,D,"$11,500,000",11.5
David Pastrnak,Boston Bruins,F,"$11,250,000",11.25
Drew Doughty,Los Angeles Kings,D,"$11,000,000",11.0
John Tavares,Toronto Maple Leafs,F,"$11,000,000",11.0
Rasmus Dahlin,Buffalo Sabres,D,"$11,000,000",11.0
Mitchell Marner,Toronto Maple Leafs,F,"$10,903,000",10.903
Jonathan Huberdeau,Calgary Flames,F,"$10,500,000",10.5
Aleksander Barkov,Florida Panthers,F,"$10,000,000",10.0
Jack Eichel,Vegas Golden Knights,F,"$10,000,000",10.0
Tyler Seguin,Dallas Stars,F,"$9,850,000",9.85
Sebastian Aho,Carolina Hurricanes,F,"$9,750,000",9.75
Johnny Gaudreau,Null,F,"$9,750,000",9.75
Zach Werenski,Columbus Blue Jackets,D,"$9,583,333",9.583
Adam Fox,New York Rangers,D,"$9,500,000",9.5
Seth Jones,Chicago Blackhawks,D,"$9,500,000",9.5
Brayden Point,Tampa Bay Lightning,F,"$9,500,000",9.5
Nikita Kucherov,Tampa Bay Lightning,F,"$9,500,000",9.5
Matthew Tkachuk,Florida Panthers,F,"$9,500,000",9.5
Jamie Benn,Dallas Stars,F,"$9,500,000",9.5
Alex Ovechkin,Washington Capitals,F,"$9,500,000",9.5
Mark Stone,Vegas Golden Knights,F,"$9,500,000",9.5
Charlie McAvoy,Boston Bruins,D,"$9,500,000",9.5
Mikko Rantanen,Colorado Avalanche,F,"$9,250,000",9.25
Darnell Nurse,Edmonton Oilers,D,"$9,250,000",9.25
Nicklas Backstrom,Washington Capitals,F,"$9,200,000",9.2
Mathew Barzal,New York Islanders,F,"$9,150,000",9.15
Roman Josi,Nashville Predators,D,"$9,059,000",9.059
Cale Makar,Colorado Avalanche,D,"$9,000,000",9.0
Kirill Kaprizov,Minnesota Wild,F,"$9,000,000",9.0
Jake Guentzel,Tampa Bay Lightning,F,"$9,000,000",9.0
Dougie Hamilton,New Jersey Devils,D,"$9,000,000",9.0
Alex Pietrangelo,Vegas Golden Knights,D,"$8,800,000",8.8
Timo Meier,New Jersey Devils,F,"$8,800,000",8.8
Dylan Larkin,Detroit Red Wings,F,"$8,700,000",8.7
Patrik Laine,Montreal Canadiens,F,"$8,700,000",8.7
Sidney Crosby,Pittsburgh Penguins,F,"$8,700,000",8.7
Sam Reinhart,Florida Panthers,F,"$8,625,000",8.625
Moritz Seider,Detroit Red Wings,D,"$8,550,000",8.55
Pierre-Luc Dubois,Washington Capitals,F,"$8,500,000",8.5
Mark Scheifele,Winnipeg Jets,F,"$8,500,000",8.5
Bo Horvat,New York Islanders,F,"$8,500,000",8.5
Filip Forsberg,Nashville Predators,F,"$8,500,000",8.5
Leon Draisaitl,Edmonton Oilers,F,"$8,500,000",8.5
Mikhail Sergachev,Utah Hockey Club,D,"$8,500,000",8.5
Mika Zibanejad,New York Rangers,F,"$8,500,000",8.5
Roope Hintz,Dallas Stars,F,"$8,450,000",8.45
Miro Heiskanen,Dallas Stars,D,"$8,450,000",8.45
Tim Stutzle,Ottawa Senators,F,"$8,350,000",8.35
Owen Power,Buffalo Sabres,D,"$8,350,000",8.35
Brady Tkachuk,Ottawa Senators,F,"$8,205,714",8.206
Tomas Hertl,Vegas Golden Knights,F,"$8,137,500",8.137
Robert Thomas,St Louis Blues,F,"$8,125,000",8.125
Jordan Kyrou,St Louis Blues,F,"$8,125,000",8.125
Lucas Raymond,Detroit Red Wings,F,"$8,075,000",8.075
Jake Sanderson,Ottawa Senators,D,"$8,050,000",8.05
Brent Burns,Carolina Hurricanes,D,"$8,000,000",8.0
Ryan Johansen,Null,F,"$8,000,000",8.0
J.T. Miller,Vancouver Canucks,F,"$8,000,000",8.0
Steven Stamkos,Nashville Predators,F,"$8,000,000",8.0
Logan Couture,San Jose Sharks,F,"$8,000,000",8.0
John Carlson,Washington Capitals,D,"$8,000,000",8.0
Thomas Chabot,Ottawa Senators,D,"$8,000,000",8.0
Jack Hughes,New Jersey Devils,F,"$8,000,000",8.0
Jacob Trouba,New York Rangers,D,"$8,000,000",8.0
Joshua Norris,Ottawa Senators,F,"$7,950,000",7.95
