,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60
148,Nikita Kucherov,T.B,R,15,314.55,20.97,0.76,4.96,3.81,1.14,5.72,90.91,8.97,8.51,1.22,18.12,14.12,8.58,2.29,0,1.72,0,0,0,0,0,0.76,2.48,2.29,1.34,3.05,1.34,0,0
335,Connor McDavid,EDM,C,11,221.0333333,20.09393939,1.63,3.8,2.17,1.63,5.43,83.33,11.13,14.63,1.21,15.47,13.84,8.96,4.61,0.81,1.36,0,0,0,0,0,1.09,4.34,2.17,4.34,5.43,1.36,15.74,15.47
228,Jake Guentzel,CAR,"C, L",14,244.35,17.45357143,1.96,3.44,2.21,1.23,5.4,73.33,10.8,18.18,2.17,20.38,15.72,14.98,7.37,0.25,4.17,1.47,0.74,0.74,0,0,1.23,0.74,2.21,1.47,4.17,0.98,0.25,0.98
188,Filip Forsberg,NSH,L,15,281.0333333,18.73555556,2.99,2.35,0.85,1.49,5.34,83.33,15.8,18.92,2.06,29.25,21.99,13.45,6.83,0.64,3.84,1.49,0.43,0.21,0.21,0,1.92,2.78,3.63,3.63,1.92,2.13,0,0.43
379,Artemi Panarin,NYR,L,15,305.8666667,20.39111111,2.16,3.14,1.37,1.77,5.3,84.38,12.55,17.19,1.27,27.86,17.65,12.36,2.35,0.2,2.16,0.39,0.2,0.2,0,0,0.39,3.14,0.78,0.39,1.57,0.2,0,0
11,Sidney Crosby,PIT,C,15,300.2833333,20.01888889,1.8,3.4,2.6,0.8,5.2,81.25,8.59,20.93,1.43,17.18,13.39,9.99,4.2,0.2,2.8,1.6,0.8,0.8,0,0,1.2,1.6,4,4,2.2,1,39.16,29.57
47,Steven Stamkos,NSH,C,15,263.5833333,17.57222222,2.96,1.82,0.23,1.59,4.78,77.78,14.8,20,1.56,26.86,20.03,12.29,3.41,0.46,1.14,1.82,0.91,0.91,0,0,1.14,2.28,1.37,3.64,2.96,2.28,18.67,9.11
402,Auston Matthews,TOR,C,15,305.3333333,20.35555556,2.75,1.77,0.98,0.79,4.52,67.65,17.49,15.73,2.25,30.85,23.78,18.08,7.86,0.59,3.54,3.14,0.79,0.59,0,0.2,0.39,1.77,2.95,2.95,2.95,3.34,22.4,20.04
250,Nathan MacKinnon,COL,C,15,341,22.73333333,1.58,2.82,2.29,0.53,4.4,78.13,14.25,11.11,0.98,20.94,16.54,9.85,3.7,0.88,1.06,1.41,0.7,0.7,0,0,0.7,2.29,1.76,1.06,2.64,2.46,19,24.99
30,Jamie Benn,DAL,L,15,233.4166667,15.56111111,2.57,1.8,1.29,0.51,4.37,70.83,9.51,27.03,1.77,17.99,15.17,11.05,6.94,0.77,0.77,0,0,0,0,0,1.29,2.57,2.06,5.91,3.6,3.08,17.48,13.37
673,Cole Perfetti,WPG,C,8,99.21666667,12.40208333,3.02,1.21,1.21,0,4.23,63.64,8.47,35.71,1.1,13.3,12.7,5.44,2.42,2.42,0.6,1.21,0.6,0.6,0,0,0,1.81,1.21,1.21,8.47,0.6,0,0
295,Adrian Kempe,L.A,R,15,292.1,19.47333333,1.44,2.67,1.23,1.44,4.11,86.96,8.83,16.28,0.69,17.46,11.5,8.42,2.05,0.62,1.44,4.11,1.23,1.03,0,0.21,1.03,0.82,1.03,3.49,3.9,1.44,0.21,0.62
61,Gustav Nyquist,NSH,C,14,253.8666667,18.13333333,1.18,2.84,1.89,0.95,4.02,70.83,6.38,18.52,0.85,10.16,7.8,6.38,3.55,0.71,1.89,0,0,0,0,0,0,1.89,2.36,1.42,3.55,0.71,0.47,0.95
695,Josh Doan,ARI,R,11,135.4,12.30909091,2.22,1.77,0.89,0.89,3.99,81.82,10.19,21.74,1.69,16.4,13.74,13.74,9.75,0.89,1.33,0,0,0,0,0,0.89,0.44,3.99,3.1,6.65,3.1,2.22,3.1
